Date 	Value
May 1, 2019 	2,932.47
Apr 1, 2019 	2,903.80
Mar 1, 2019 	2,818.83
Feb 1, 2019 	2,785.07
Jan 1, 2019 	2,647.13
Dec 1, 2018 	2,611.40
Nov 1, 2018 	2,761.16
Oct 1, 2018 	2,814.79
Sep 1, 2018 	2,937.23
Aug 1, 2018 	2,896.38
Jul 1, 2018 	2,832.91
Jun 1, 2018 	2,793.25
May 1, 2018 	2,744.01
Apr 1, 2018 	2,706.61
Mar 1, 2018 	2,767.69
Feb 1, 2018 	2,776.40
Jan 1, 2018 	2,876.25
Dec 1, 2017 	2,761.87
Nov 1, 2017 	2,686.97
Oct 1, 2017 	2,649.11
Sep 1, 2017 	2,581.00
Aug 1, 2017 	2,556.55
Jul 1, 2017 	2,561.99
Jun 1, 2017 	2,539.25
May 1, 2017 	2,501.20
Apr 1, 2017 	2,465.68
Mar 1, 2017 	2,480.86
Feb 1, 2017 	2,444.16
Jan 1, 2017 	2,394.19
Dec 1, 2016 	2,377.99
Nov 1, 2016 	2,292.32
Oct 1, 2016 	2,265.53
Sep 1, 2016 	2,283.88
Aug 1, 2016 	2,303.44
Jul 1, 2016 	2,282.14
Jun 1, 2016 	2,209.52
May 1, 2016 	2,197.27
Apr 1, 2016 	2,216.83
Mar 1, 2016 	2,169.83
Feb 1, 2016 	2,052.50
Jan 1, 2016 	2,069.49
Dec 1, 2015 	2,219.28
Nov 1, 2015 	2,240.28
Oct 1, 2015 	2,175.58
Sep 1, 2015 	2,088.26
Aug 1, 2015 	2,187.37
Jul 1, 2015 	2,242.38
Jun 1, 2015 	2,248.05
May 1, 2015 	2,269.52
Apr 1, 2015 	2,262.64
Mar 1, 2015 	2,251.14
Feb 1, 2015 	2,266.95
Jan 1, 2015 	2,217.72
Dec 1, 2014 	2,235.68
Nov 1, 2014 	2,212.51
Oct 1, 2014 	2,085.07
Sep 1, 2014 	2,139.91
Aug 1, 2014 	2,107.47
Jul 1, 2014 	2,116.36
Jun 1, 2014 	2,087.64
May 1, 2014 	2,029.96
Apr 1, 2014 	2,009.55
Mar 1, 2014 	2,015.37
Feb 1, 2014 	1,977.76
Jan 1, 2014 	1,990.89
Dec 1, 2013 	1,982.31
Nov 1, 2013 	1,955.56
Oct 1, 2013 	1,882.07
Sep 1, 2013 	1,841.36
Aug 1, 2013 	1,824.84
Jul 1, 2013 	1,825.49
Jun 1, 2013 	1,771.59
May 1, 2013 	1,798.96
Apr 1, 2013 	1,726.18
Mar 1, 2013 	1,702.57
Feb 1, 2013 	1,664.62
Jan 1, 2013 	1,642.84
Dec 1, 2012 	1,583.02
Nov 1, 2012 	1,547.92
Oct 1, 2012 	1,588.44
Sep 1, 2012 	1,594.00
Aug 1, 2012 	1,556.78
Jul 1, 2012 	1,516.73
Jun 1, 2012 	1,473.83
May 1, 2012 	1,491.46
Apr 1, 2012 	1,539.86
Mar 1, 2012 	1,547.65
Feb 1, 2012 	1,518.15
Jan 1, 2012 	1,466.31
Dec 1, 2011 	1,407.92
Nov 1, 2011 	1,385.36
Oct 1, 2011 	1,362.52
Sep 1, 2011 	1,322.16
Aug 1, 2011 	1,337.06
Jul 1, 2011 	1,498.97
Jun 1, 2011 	1,457.39
May 1, 2011 	1,513.53
Apr 1, 2011 	1,512.92
Mar 1, 2011 	1,491.76
Feb 1, 2011 	1,525.51
Jan 1, 2011 	1,488.36
Dec 1, 2010 	1,447.54
Nov 1, 2010 	1,400.23
Oct 1, 2010 	1,368.91
Sep 1, 2010 	1,312.70
Aug 1, 2010 	1,272.73
Jul 1, 2010 	1,265.72
Jun 1, 2010 	1,270.16
May 1, 2010 	1,317.76
Apr 1, 2010 	1,403.49
Mar 1, 2010 	1,352.77
Feb 1, 2010 	1,284.17
Jan 1, 2010 	1,325.08
Dec 1, 2009 	1,313.99
Nov 1, 2009 	1,285.32
Oct 1, 2009 	1,262.11
Sep 1, 2009 	1,235.98
Aug 1, 2009 	1,195.52
Jul 1, 2009 	1,110.50
Jun 1, 2009 	1,097.25
May 1, 2009 	1,078.34
Apr 1, 2009 	1,016.43
